Account number,Organization,Country/Area,Request response status,Access type,Samples,Response received date,Activities,Sectors,Industries,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Primary Ticker,Tickers,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
827303,GOHSYU CORPORATION,Japan,Submitted,public,,44774.184525463," Fabricated metal components, Metal processing"," Metal products manufacturing, Metal smelting, refining & forming"," Manufacturing, Materials",Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827306,"IKUYO CO.,LTD",Japan,Submitted,public,,44764.35, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
827322,"NAKAKIN CO .,LTD",Japan,Submitted,public,,44762.0772685185, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827342,Praga,South Africa,Submitted,public,,44824.5368055556, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
827358,Line Management Group Ltd,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44777.4290509259, Telecommunications services," Media, telecommunications & data center services", Services,Telecommunications services,"Media, telecommunications & data center services",Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827369,Dyer & Butler Ltd,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44768.7724652778, Transportation infrastructure & other construction, Construction, Infrastructure,Transportation infrastructure & other construction,Construction,Infrastructure,General,,,unknown,2022,,,,,,,,,,,,,,,
827372,INSTALCOM LTD,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44778.7832523148, Electricity networks, Energy utility networks, Infrastructure,Electricity networks,Energy utility networks,Infrastructure,Electric utilities,,,unknown,2022,,,,,,,,,,,,,,,
827378,AMERICAN SUPERCONDUCTOR CORPORATION,United States of America,Submitted,public,,44825.224837963, Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827393,EFACEC ENERGIA MAQUINAS E,Portugal,Submitted,public,,44774.661412037, Electrical equipment, Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827415,ROSS-SHIRE ENGINEERING LIMITED,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44754.4715509259, Industrial machinery, Powered machinery, Manufacturing,Industrial machinery,Powered machinery,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827431,WINDER POWER LTD,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44739.5601736111, Electrical equipment, Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827444,Remotek Corporation,"Taiwan, China",Submitted,public,,44712.1200115741, Communications equipment, Electrical & electronic equipment, Manufacturing,Communications equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827445,Baycom Opto-Electronics Technology Company,"Taiwan, China",Submitted,public,,44756.3496296296, Servers & data centers," Media, telecommunications & data center services", Services,Servers & data centers,"Media, telecommunications & data center services",Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827448,"Ablerex Electronics Co., Ltd.","Taiwan, China",Submitted,public,,44754.3877546296," Electrical equipment, Electronic equipment", Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827452,"Hua Eng Wire & Cable Co., Ltd","Taiwan, China",Submitted,public,,44748.1902430556, Communications equipment, Electrical & electronic equipment, Manufacturing,Communications equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827455,Hauman,"Taiwan, China",Submitted,public,,44768.2706712963, Other professional services, Specialized professional services, Services,Other professional services,Specialized professional services,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827522,"Shindengen Electric Manufacturing Co., Ltd.",Japan,Submitted,public, TSE Prime Segment,44768.2815393519," Electrical equipment, Electronic components, Electronic equipment", Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods,,,unknown,2022,,,,,,,,,,,,,,,
827548,"YOKOWO CO., LTD.",Japan,Submitted,public, TSE Prime Segment,44770.0155787037," Communications equipment, Electronic equipment, Fabricated metal components"," Electrical & electronic equipment, Metal products manufacturing", Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,6800 JP, 6800 JP,6800.T,2022,50375077483,,9619000000,77962000000,14895000000,3147000000,JPY,17687000000,-2133000000,4112000000,70656000000,23433000000,1979000000,11179000000,47223000000
827569,ONE,Singapore,Submitted,public,,44774.389537037, Marine freight, Marine transport, Transportation services,Marine freight,Marine transport,Transportation services,Transport services,,,unknown,2022,,,,,,,,,,,,,,,
827610,BROOKCOURT SOLUTIONS LTD,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44762.6037847222, Communications equipment, Electrical & electronic equipment, Manufacturing,Communications equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827636,VALTELLINA S.P.A.,Italy,Submitted,public,,44739.3754166667, Telecommunications services," Media, telecommunications & data center services", Services,Telecommunications services,"Media, telecommunications & data center services",Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827637,WHP PROJECTS LTD,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44804.6298611111, Telecommunications services," Media, telecommunications & data center services", Services,Telecommunications services,"Media, telecommunications & data center services",Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827650,CLEAVELAND/PRICE INC.,United States of America,Submitted,public,,44784.5236921296, Electrical equipment, Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
827825,DIGI SOLUÇÕES DE COMUNICAÇÃO LTDA,Brazil,Submitted,public,,44777.8845023148," Software, Telecommunications services"," IT & software development, Media, telecommunications & data center services", Services,Software,IT & software development,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827863,REDENTOR ENGENHARIA LTDA,Brazil,Submitted,public,,44755.0030902778, Engineering services, Specialized professional services, Services,Engineering services,Specialized professional services,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827894,NETBR DISTRIBUIÇÃO E CONSULTORIA EM INFORMÁTICA LTDA,Brazil,Submitted,public,,44740.7653819444, IT services, IT & software development, Services,IT services,IT & software development,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827935,ANGEL'S SEGURANCA E VIGILANCIA LTDA,Brazil,Submitted,public,,44771.5232291667," Commercial services, Other professional services"," Commercial & consumer services, Specialized professional services", Services,Other professional services,Specialized professional services,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827936,AXWAY SOFTWARE DO BRASIL LTDA.,Brazil,Submitted,public,,44767.6228125, IT services, IT & software development, Services,IT services,IT & software development,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827958,JR ENGENHARIA E SERVIÇOS LTDA,Brazil,Submitted,public,,44764.5309143519, Industrial services, Industrial support services, Services,Industrial services,Industrial support services,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
827967,GTT COMMUNICATIONS INC,United States of America,Submitted,public,,44831.4272222222, Telecommunications services," Media, telecommunications & data center services", Services,Telecommunications services,"Media, telecommunications & data center services",Services,General,GTTN US, GTTN US,GTTN,2022,,,,,,,JPY,,,,,,,,
827974,"AUCOIN TELECOM AND UTILITY CONSTRUCTION, LLC",United States of America,Submitted,public,,44790.6111458333," Building sub-contractors, Non-residential building construction", Construction, Infrastructure,Non-residential building construction,Construction,Infrastructure,Construction,,,unknown,2022,,,,,,,,,,,,,,,
827976,Barhale Construction Plc,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44832.3647106482, Utility line construction, Construction, Infrastructure,Utility line construction,Construction,Infrastructure,General,,,unknown,2022,,,,,,,,,,,,,,,
827984,FIACCO AND RILEY CONSTRUCTION,United States of America,Submitted,public,,44771.8123263889," Building sub-contractors, Energy infrastructure construction", Construction, Infrastructure,Energy infrastructure construction,Construction,Infrastructure,General,,,unknown,2022,,,,,,,,,,,,,,,
827993,M & X UTILITY,United States of America,Submitted,public,,44749.6707523148, Gas utilities, Energy utility networks, Infrastructure,Gas utilities,Energy utility networks,Infrastructure,Oil & gas,,,unknown,2022,,,,,,,,,,,,,,,
828002,TREE CARE OF NEW YORK,United States of America,Submitted,public,,44755.5957175926, Utility line construction, Construction, Infrastructure,Utility line construction,Construction,Infrastructure,General,,,unknown,2022,,,,,,,,,,,,,,,
828022,Citromax,Argentina,Submitted,public,,44772.0074189815," Fruit, nut & vegetable processing", Food & beverage processing," Food, beverage & agriculture","Fruit, nut & vegetable processing",Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco",,,unknown,2022,,,,,,,,,,,,,,,
828052,Asahi Forge Corporation,Japan,Submitted,public,,44739.0801851852, Engines & motors, Powered machinery, Manufacturing,Engines & motors,Powered machinery,Manufacturing,Transport OEMS - EPM,,,unknown,2022,,,,,,,,,,,,,,,
828054,"ASAHI DENSO CO., LTD.",Japan,Submitted,public,,44768.2358449074, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828056,"ARAI SEISAKUSHO CO., LTD.",Japan,Submitted,public,,44770.1097453704, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828063,OHtsuka Poly-Tech,Japan,Submitted,public,,44761.301400463, Rubber products, Wood & rubber products, Manufacturing,Rubber products,Wood & rubber products,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828065,"KAKUTA TECH FORGING CO., LTD.",Japan,Submitted,public,,44772.2398263889, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828068,KANEHIRO,Japan,Submitted,public,,44763.2606018519, Other non-wood building materials, Other materials, Materials,Other non-wood building materials,Other materials,Materials,General,,,unknown,2022,,,,,,,,,,,,,,,
828070,Kaneta Kogyo,Japan,Submitted,public,,44756.3802314815, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828072,Kusaka Gear,Japan,Submitted,public,,44768.3322222222, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828074,Koyoseiki,Japan,Submitted,public,,44826.353125, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828076,G-TEKT CORPORATION,Japan,Submitted,public, TSE Prime Segment,44771.4112962963," Automobiles, Fabricated metal components"," Metal products manufacturing, Transportation equipment", Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,5970 JP, 5970 JP,5970.T,2022,62063483391,,32511000000,314312000000,27779000000,10270000000,JPY,44232000000,-334000000,9763000000,288698000000,112005000000,9429000000,51165000000,176693000000
828078,Keihin metal,Japan,Submitted,public,,44761.2400115741," Aluminium refining, Aluminum"," Metal smelting, refining & forming", Materials,Aluminum,"Metal smelting, refining & forming",Materials,Metals & mining,,,unknown,2022,,,,,,,,,,,,,,,
828088,Sanyoseisakusho,Japan,Submitted,public,,44771.358900463, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828093,"DAIDO KOGYO Co., LTD. (DID)",Japan,Submitted,public,,44762.0874884259, Engines & motors, Powered machinery, Manufacturing,Engines & motors,Powered machinery,Manufacturing,Transport OEMS - EPM,6373 JP, 6373 JP,6373.T,2022,7976985483,,4796000000,55054000000,9943000000,-257000000,JPY,8289000000,-694000000,16099000000,73029000000,40754000000,15405000000,24882000000,32275000000
828100,Pacific Engineering Corporation,Japan,Submitted,public,,44832.4760763889, Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828103,Tsuzuki,Japan,Submitted,public,,44770.1082523148," Automobiles, Fabricated metal components"," Metal products manufacturing, Transportation equipment", Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828105,Tigers Polymer Corporation,Japan,Submitted,public,,44764.2758217593, Plastic products, Plastic product manufacturing, Manufacturing,Plastic products,Plastic product manufacturing,Manufacturing,General,4231 JP, 4231 JP,4231.T,2022,8001919344,,4460133000,45285261000,7418892000,816448000,JPY,12806509000,600000000,3845000000,51427344000,14483500000,3621687000,3200000000,36943844000
828110,TRIX,Japan,Submitted,public,,44775.1528009259, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828125,"H-ONE CO., LTD.",Japan,Submitted,public, TSE Prime Segment,44764.0742708333," Automobiles, Fabricated metal components"," Metal products manufacturing, Transportation equipment", Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,5989 JP, 5989 JP,5989.T,2022,17256285000,,7640000000,225511000000,15625000000,-6993000000,JPY,10420000000,3120000000,17517000000,187315000000,118397000000,13679000000,65468000000,68918000000
828127,"J-MAX Co., Ltd.",Japan,Submitted,public,,44764.2721296296, Metal processing," Metal smelting, refining & forming", Materials,Metal processing,"Metal smelting, refining & forming",Materials,Metals & mining,,,unknown,2022,,,,,,,,,,,,,,,
828130,TFO Corporation,Japan,Submitted,public,,44746.017650463," Metal processing, Other non-ferrous metals"," Metal smelting, refining & forming", Materials,Metal processing,"Metal smelting, refining & forming",Materials,Metals & mining,,,unknown,2022,,,,,,,,,,,,,,,
828131,"HOHSEI INDUSTRIAL CO.,LTD.",Japan,Submitted,public,,44770.3055208333, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828134,Honda Lock,Japan,Submitted,public,,44764.2216435185," Automobiles, Other vehicle equipment & systems"," Powered machinery, Transportation equipment", Manufacturing,Other vehicle equipment & systems,Powered machinery,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828135,Morikawa Industries Corporation,Japan,Submitted,public,,44763.3330324074, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828136,"YAMATO INDUSTRIAL CO.,LTD.",Japan,Submitted,public,,44774.0318981481, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828137,Masuda Manufacturing,Japan,Submitted,public,,44775.4128935185, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828138,Yachiyo,Japan,Submitted,public,,44748.1905092593," Automobiles, Other vehicle equipment & systems"," Powered machinery, Transportation equipment", Manufacturing,Other vehicle equipment & systems,Powered machinery,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828231,AARONE ENGINEERING PRODUCTS CO,China,Submitted,public,,44759.7747800926, Plastic products, Plastic product manufacturing, Manufacturing,Plastic products,Plastic product manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828233,"A J MANUFACTURING CO., INC.",United States of America,Submitted,public,,44691.6280324074, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828235,ALL FIRST CORP.,China,Submitted,public,,44764.1003587963, Metal containers & packaging, Metal products manufacturing, Manufacturing,Metal containers & packaging,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828248,ANNOVI REVERBERI SPA,Italy,Submitted,public,,44761.3057986111," Fabricated metal components, Household appliances"," Electrical & electronic equipment, Metal products manufacturing", Manufacturing,Household appliances,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828251,"BEIJING ZHONG KE SAN HUAN HIGH-TECH CO., LTD.",China,Submitted,public,,44767.3640509259, Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828252,BRUCKMANN ELEKTRONIK GMBH,Germany,Submitted,public,,44771.501875, Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828255,CHANGZHOU WUJIN PENGYUAN COMMUNICATION EQUIPMENT FITTINGS FACTORY,China,Submitted,public,,44721.4059375, Plastic products, Plastic product manufacturing, Manufacturing,Plastic products,Plastic product manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828257,ENCZ a.s,Czechia,Submitted,public,,44768.6045949074, Plastic products, Plastic product manufacturing, Manufacturing,Plastic products,Plastic product manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828260,"CIXI YONGLI ELECTRIC TOOLS CO., LTD.",China,Submitted,public,,44755.2502777778, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828262,COMWA SPOL. S R. O.,Czechia,Submitted,public,,44820.2145138889, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828267,"CHANGZHOU HONGCHANG ELECTRONICS CO., LTD.",China,Submitted,public,,44758.3019791667, Tires, Light manufacturing, Manufacturing,Tires,Light manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828269,"CHENG YU METALS MANUFACTORY, INC.","Taiwan, China",Submitted,public,,44734.118275463, Homeware, Leisure & home manufacturing, Manufacturing,Homeware,Leisure & home manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828271,CHINA STAPLE ENTERPRISE CORPORATION,"Taiwan, China",Submitted,public,,44711.131099537, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828275,"EHWA DIAMOND IND.CO.,LTD.",China,Submitted,public,,44734.0875578704, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828276,DETROIT EDGE TOOL COMPANY,United States of America,Submitted,public,,44760.8672916667, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828281,"EARTH-PANDA ADVANCE MAGNETIC MATERIAL CO., LTD.",China,Submitted,public,,44758.1414814815, Metal processing," Metal smelting, refining & forming", Materials,Metal processing,"Metal smelting, refining & forming",Materials,Metals & mining,,,unknown,2022,,,,,,,,,,,,,,,
828284,"EASY STRIKE CO., LTD.","Taiwan, China",Submitted,public,,44747.2245486111, Iron & steel," Metal smelting, refining & forming", Materials,Iron & steel,"Metal smelting, refining & forming",Materials,Steel,,,unknown,2022,,,,,,,,,,,,,,,
828288,"EVERITE SUZHOU MECHANICAL PRODUCTS CO., LTD.",China,Submitted,public,,44767.0883680556, Industrial machinery, Powered machinery, Manufacturing,Industrial machinery,Powered machinery,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828290,EVER YIELD WORLDWIDE LIGHT LIMITED,China,Submitted,public,,44757.1615625, Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828294,"FENG HSIN STEEL CO., LTD.","Taiwan, China",Submitted,public, Self selected companies climate change,44767.0416087963," Fabricated metal components, Iron & steel"," Metal products manufacturing, Metal smelting, refining & forming"," Manufacturing, Materials",Iron & steel,"Metal smelting, refining & forming",Materials,Steel,,,unknown,2022,,,,,,,,,,,,,,,
828296,"FREEWON CHINA CO., LTD.",China,Submitted,public,,44768.2707407407, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828298,"FOSHAN SHUNDE AONENG ELECTRICAL APPLIANCES CO., LTD",China,Submitted,public,,44756.3680439815, Electrical equipment, Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828300,GOALMAC INT'L LIMITED,China,Submitted,public,,44740.2117013889, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828303,"GONG MAW ENTERPRISE CO., LTD.","Taiwan, China",Submitted,public,,44754.3359143518, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828307,"HERD MANUFACTURING, INC.",United States of America,Submitted,public,,44830.7940972222, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828312,HOUTEK TECHNOLOGIES,China,Submitted,public,,44749.1463425926, Plastic products, Plastic product manufacturing, Manufacturing,Plastic products,Plastic product manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828313,"INFAR INDUSTRIAL CO., LTD.","Taiwan, China",Submitted,public,,44764.1474537037, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828318,"JINHUA XIANGMING TOOL MANUFACTURING CO., LTD.",China,Submitted,public,,44764.1809027778, Industrial machinery, Powered machinery, Manufacturing,Industrial machinery,Powered machinery,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828319,HANGZHOU KELONG ELECTRIC APPLIANCE TOOLS CORP.,China,Submitted,public,,44764.0443981482, Electrical equipment, Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828321,JAINGSU HOLLY CORPORATION,China,Submitted,public,,44760.177650463, Electronic equipment, Electrical & electronic equipment, Manufacturing,Electronic equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828326,KEYSTONE ELECTRICAL (ZHEJIANG),China,Submitted,public,,44761.1778009259, Electronic equipment, Electrical & electronic equipment, Manufacturing,Electronic equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828328,JINHUA RONGSHENG TOOLS FACTORY,China,Submitted,public,,44739.2882175926, Plastic products, Plastic product manufacturing, Manufacturing,Plastic products,Plastic product manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828329,"HI-FIVE PRODUCTS DEVELOPING CO., LTD.","Taiwan, China",Submitted,public,,44734.2445949074, Other containers & packaging, Light manufacturing, Manufacturing,Other containers & packaging,Light manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828339,"JIANGSU SHUANGHUAN GEAR CO., LTD.",China,Submitted,public,,44764.0308101852, Automobiles, Transportation equipment, Manufacturing,Automobiles,Transportation equipment,Manufacturing,Transport OEMS,,,unknown,2022,,,,,,,,,,,,,,,
828341,"LUCKY-BRAND INDUSTRIAL CO., LTD.","Taiwan, China",Submitted,public,,44740.402974537, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828345,MEDIA STREAM TECHNOLOGIES INC.,China,Submitted,public,,44760.4368865741, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828347,MKV GMBH KUNSTSTOFFGRANULATE,Germany,Submitted,public,,44772.5821527778, Other non-wood building materials, Other materials, Materials,Other non-wood building materials,Other materials,Materials,General,,,unknown,2022,,,,,,,,,,,,,,,
828353,"NINGBO HAOJIA ELECTRICAL APPLIANCE CO., LTD",China,Submitted,public,,44740.2498726852, Glass products, Other materials, Materials,Glass products,Other materials,Materials,General,,,unknown,2022,,,,,,,,,,,,,,,
828354,"NANJING KANGNI MECHANICAL & ELECTRICAL CO., LTD.",China,Submitted,public,,44771.4951273148, Engines & motors, Powered machinery, Manufacturing,Engines & motors,Powered machinery,Manufacturing,Transport OEMS - EPM,,,unknown,2022,,,,,,,,,,,,,,,
828359,NEW NINGBO INDUSTRIAL POWER BRUSHES LTD.,China,Submitted,public,,44756.5127083333, Industrial machinery, Powered machinery, Manufacturing,Industrial machinery,Powered machinery,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828360,"NINGBO DONGZI INSTRUMENT CO., LTD.",China,Submitted,public,,44757.0682638889, Plastic products, Plastic product manufacturing, Manufacturing,Plastic products,Plastic product manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828361,MILLENNIUM REAL ESTATE SERVICE,United States of America,Submitted,public,,44741.7382175926," Asset managers, REIT", Financial services, Services,REIT,Financial services,Services,Real estate,,,unknown,2022,,,,,,,,,,,,,,,
828363,"NINGBO YAOSHENG ELECTRICAL CO., LTD.",China,Submitted,public,,44767.368125, Electrical equipment, Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods,,,unknown,2022,,,,,,,,,,,,,,,
828365,"NINGBO YONGSHI ELECTRICAL MACHINERY CO., LTD.",China,Submitted,public,,44755.2596064815, Engines & motors, Powered machinery, Manufacturing,Engines & motors,Powered machinery,Manufacturing,Transport OEMS - EPM,,,unknown,2022,,,,,,,,,,,,,,,
828366,"MITSUI HIGH-TEC(SHANGHAI) CO., LTD.",China,Submitted,public,,44746.2490972222, Electrical equipment, Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828367,"NINGBO LIAN YOU PRECISION MFG CO.,LTD.",China,Submitted,public,,44755.3868981482, Engines & motors, Powered machinery, Manufacturing,Engines & motors,Powered machinery,Manufacturing,Transport OEMS - EPM,,,unknown,2022,,,,,,,,,,,,,,,
828368,"PACE INDUSTRIES, LLC",United States of America,Submitted,public,,44750.665474537, Fabricated metal components, Metal products manufacturing, Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828370,POLYGON COMPANY,United States of America,Submitted,public,,44803.7129861111, Plastic products, Plastic product manufacturing, Manufacturing,Plastic products,Plastic product manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
828374,NORTHWEST INSTRUMENT INC.,China,Submitted,public,,44753.2645833333, Electronic equipment, Electrical & electronic equipment, Manufacturing,Electronic equipment,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
